timeSeriesDesc,geoLevelDesc,geoLevelValueDesc,label,countsPercentage,Province,District,Municipality,ReportType
Census 2022,Municipality,Matatiele,Piped (tap) water inside the dwelling,28.8,Eastern Cape,Alfred Nzo,Matatiele,DsAccessToPipedWaters
Census 2022,Municipality,Matatiele,Piped (tap) water inside the yard,24.6,Eastern Cape,Alfred Nzo,Matatiele,DsAccessToPipedWaters
Census 2022,Municipality,Matatiele,Piped (tap) water on community stand,20.3,Eastern Cape,Alfred Nzo,Matatiele,DsAccessToPipedWaters
Census 2022,Municipality,Matatiele,No access to piped water,26.4,Eastern Cape,Alfred Nzo,Matatiele,DsAccessToPipedWaters
Census 2022,Municipality,Ntabankulu,Piped (tap) water inside the dwelling,18.2,Eastern Cape,Alfred Nzo,Ntabankulu,DsAccessToPipedWaters
Census 2022,Municipality,Ntabankulu,Piped (tap) water inside the yard,10.6,Eastern Cape,Alfred Nzo,Ntabankulu,DsAccessToPipedWaters
Census 2022,Municipality,Ntabankulu,Piped (tap) water on community stand,23.8,Eastern Cape,Alfred Nzo,Ntabankulu,DsAccessToPipedWaters
Census 2022,Municipality,Ntabankulu,No access to piped water,47.4,Eastern Cape,Alfred Nzo,Ntabankulu,DsAccessToPipedWaters
Census 2022,Municipality,Umzimvubu,Piped (tap) water inside the dwelling,24.7,Eastern Cape,Alfred Nzo,Umzimvubu,DsAccessToPipedWaters
Census 2022,Municipality,Umzimvubu,Piped (tap) water inside the yard,21.0,Eastern Cape,Alfred Nzo,Umzimvubu,DsAccessToPipedWaters
Census 2022,Municipality,Umzimvubu,Piped (tap) water on community stand,23.1,Eastern Cape,Alfred Nzo,Umzimvubu,DsAccessToPipedWaters
Census 2022,Municipality,Umzimvubu,No access to piped water,31.2,Eastern Cape,Alfred Nzo,Umzimvubu,DsAccessToPipedWaters
Census 2022,Municipality,Winnie Madikizela-Mandela,Piped (tap) water inside the dwelling,15.8,Eastern Cape,Alfred Nzo,Winnie Madikizela-Mandela,DsAccessToPipedWaters
Census 2022,Municipality,Winnie Madikizela-Mandela,Piped (tap) water inside the yard,15.6,Eastern Cape,Alfred Nzo,Winnie Madikizela-Mandela,DsAccessToPipedWaters
Census 2022,Municipality,Winnie Madikizela-Mandela,Piped (tap) water on community stand,14.3,Eastern Cape,Alfred Nzo,Winnie Madikizela-Mandela,DsAccessToPipedWaters
Census 2022,Municipality,Winnie Madikizela-Mandela,No access to piped water,54.3,Eastern Cape,Alfred Nzo,Winnie Madikizela-Mandela,DsAccessToPipedWaters
Census 2022,Municipality,Amahlathi,Piped (tap) water inside the dwelling,38.3,Eastern Cape,Amathole,Amahlathi,DsAccessToPipedWaters
Census 2022,Municipality,Amahlathi,Piped (tap) water inside the yard,31.5,Eastern Cape,Amathole,Amahlathi,DsAccessToPipedWaters
Census 2022,Municipality,Amahlathi,Piped (tap) water on community stand,21.2,Eastern Cape,Amathole,Amahlathi,DsAccessToPipedWaters
Census 2022,Municipality,Amahlathi,No access to piped water,9.1,Eastern Cape,Amathole,Amahlathi,DsAccessToPipedWaters
Census 2022,Municipality,Great Kei,Piped (tap) water inside the dwelling,37.8,Eastern Cape,Amathole,Great Kei,DsAccessToPipedWaters
Census 2022,Municipality,Great Kei,Piped (tap) water inside the yard,12.6,Eastern Cape,Amathole,Great Kei,DsAccessToPipedWaters
