timeSeriesDesc,geoLevelValueDesc,label,countsMales,countsPercentageMales,countsFemales,countsPercentageFemales,Province,District,Municipality,ReportType
Census 2022,Matatiele,85+,284,0.1,1384,0.6,Eastern Cape,Alfred Nzo,Matatiele,DsAgeGroups
Census 2022,Matatiele,80-84,474,0.2,1311,0.6,Eastern Cape,Alfred Nzo,Matatiele,DsAgeGroups
Census 2022,Matatiele,75-79,827,0.4,2149,1.0,Eastern Cape,Alfred Nzo,Matatiele,DsAgeGroups
Census 2022,Matatiele,70-74,1638,0.7,3090,1.4,Eastern Cape,Alfred Nzo,Matatiele,DsAgeGroups
Census 2022,Matatiele,65-69,2479,1.1,4320,1.9,Eastern Cape,Alfred Nzo,Matatiele,DsAgeGroups
Census 2022,Matatiele,60-64,3283,1.5,5026,2.2,Eastern Cape,Alfred Nzo,Matatiele,DsAgeGroups
Census 2022,Matatiele,55-59,3249,1.4,5248,2.3,Eastern Cape,Alfred Nzo,Matatiele,DsAgeGroups
Census 2022,Matatiele,50-54,3272,1.5,4707,2.1,Eastern Cape,Alfred Nzo,Matatiele,DsAgeGroups
Census 2022,Matatiele,45-49,4111,1.8,5359,2.4,Eastern Cape,Alfred Nzo,Matatiele,DsAgeGroups
Census 2022,Matatiele,40-44,4926,2.2,5918,2.6,Eastern Cape,Alfred Nzo,Matatiele,DsAgeGroups
Census 2022,Matatiele,35-39,5938,2.6,6970,3.1,Eastern Cape,Alfred Nzo,Matatiele,DsAgeGroups
Census 2022,Matatiele,30-34,6727,3.0,7725,3.4,Eastern Cape,Alfred Nzo,Matatiele,DsAgeGroups
Census 2022,Matatiele,25-29,8103,3.6,8532,3.8,Eastern Cape,Alfred Nzo,Matatiele,DsAgeGroups
Census 2022,Matatiele,20-24,9665,4.3,9395,4.2,Eastern Cape,Alfred Nzo,Matatiele,DsAgeGroups
Census 2022,Matatiele,15-19,12594,5.6,10969,4.9,Eastern Cape,Alfred Nzo,Matatiele,DsAgeGroups
Census 2022,Matatiele,10-14,12830,5.7,12138,5.4,Eastern Cape,Alfred Nzo,Matatiele,DsAgeGroups
Census 2022,Matatiele,5-9,12118,5.4,11758,5.2,Eastern Cape,Alfred Nzo,Matatiele,DsAgeGroups
Census 2022,Matatiele,0-4,13459,6.0,13586,6.0,Eastern Cape,Alfred Nzo,Matatiele,DsAgeGroups
Census 2022,Ntabankulu,85+,268,0.2,1041,0.7,Eastern Cape,Alfred Nzo,Ntabankulu,DsAgeGroups
Census 2022,Ntabankulu,80-84,303,0.2,752,0.5,Eastern Cape,Alfred Nzo,Ntabankulu,DsAgeGroups
Census 2022,Ntabankulu,75-79,411,0.3,992,0.7,Eastern Cape,Alfred Nzo,Ntabankulu,DsAgeGroups
Census 2022,Ntabankulu,70-74,785,0.5,1562,1.1,Eastern Cape,Alfred Nzo,Ntabankulu,DsAgeGroups
Census 2022,Ntabankulu,65-69,1216,0.8,2234,1.5,Eastern Cape,Alfred Nzo,Ntabankulu,DsAgeGroups
Census 2022,Ntabankulu,60-64,1628,1.1,2681,1.8,Eastern Cape,Alfred Nzo,Ntabankulu,DsAgeGroups
Census 2022,Ntabankulu,55-59,1552,1.1,2859,2.0,Eastern Cape,Alfred Nzo,Ntabankulu,DsAgeGroups
Census 2022,Ntabankulu,50-54,1603,1.1,2669,1.8,Eastern Cape,Alfred Nzo,Ntabankulu,DsAgeGroups
Census 2022,Ntabankulu,45-49,2044,1.4,2980,2.0,Eastern Cape,Alfred Nzo,Ntabankulu,DsAgeGroups
