timeSeriesDesc,geoLevelDesc,geoLevelValueDesc,label,counts,countsPercentage,Province,District,Municipality,ReportType
Census 2022,Municipality,Matatiele,Electricity from mains,29475,52.9,Eastern Cape,Alfred Nzo,Matatiele,DsEnergyForCookings
Census 2022,Municipality,Matatiele,Gas,14845,26.6,Eastern Cape,Alfred Nzo,Matatiele,DsEnergyForCookings
Census 2022,Municipality,Matatiele,Paraffin,2915,5.2,Eastern Cape,Alfred Nzo,Matatiele,DsEnergyForCookings
Census 2022,Municipality,Matatiele,Wood,8004,14.4,Eastern Cape,Alfred Nzo,Matatiele,DsEnergyForCookings
Census 2022,Municipality,Matatiele,Coal,23,0.0,Eastern Cape,Alfred Nzo,Matatiele,DsEnergyForCookings
Census 2022,Municipality,Matatiele,Animal dung,50,0.1,Eastern Cape,Alfred Nzo,Matatiele,DsEnergyForCookings
Census 2022,Municipality,Matatiele,Solar,332,0.6,Eastern Cape,Alfred Nzo,Matatiele,DsEnergyForCookings
Census 2022,Municipality,Matatiele,Other,23,0.0,Eastern Cape,Alfred Nzo,Matatiele,DsEnergyForCookings
Census 2022,Municipality,Matatiele,None,91,0.2,Eastern Cape,Alfred Nzo,Matatiele,DsEnergyForCookings
Census 2022,Municipality,Ntabankulu,Electricity from mains,13564,47.8,Eastern Cape,Alfred Nzo,Ntabankulu,DsEnergyForCookings
Census 2022,Municipality,Ntabankulu,Gas,6131,21.6,Eastern Cape,Alfred Nzo,Ntabankulu,DsEnergyForCookings
Census 2022,Municipality,Ntabankulu,Paraffin,468,1.6,Eastern Cape,Alfred Nzo,Ntabankulu,DsEnergyForCookings
Census 2022,Municipality,Ntabankulu,Wood,8044,28.4,Eastern Cape,Alfred Nzo,Ntabankulu,DsEnergyForCookings
Census 2022,Municipality,Ntabankulu,Coal,15,0.1,Eastern Cape,Alfred Nzo,Ntabankulu,DsEnergyForCookings
Census 2022,Municipality,Ntabankulu,Animal dung,73,0.3,Eastern Cape,Alfred Nzo,Ntabankulu,DsEnergyForCookings
Census 2022,Municipality,Ntabankulu,Solar,0,0.0,Eastern Cape,Alfred Nzo,Ntabankulu,DsEnergyForCookings
Census 2022,Municipality,Ntabankulu,Other,9,0.0,Eastern Cape,Alfred Nzo,Ntabankulu,DsEnergyForCookings
Census 2022,Municipality,Ntabankulu,None,61,0.2,Eastern Cape,Alfred Nzo,Ntabankulu,DsEnergyForCookings
Census 2022,Municipality,Umzimvubu,Electricity from mains,29047,56.2,Eastern Cape,Alfred Nzo,Umzimvubu,DsEnergyForCookings
Census 2022,Municipality,Umzimvubu,Gas,13915,26.9,Eastern Cape,Alfred Nzo,Umzimvubu,DsEnergyForCookings
