timeSeriesDesc,geoLevelDesc,geoLevelValueDesc,label,counts,countsPercentage,countsMales,countsPercentageMales,countsFemales,countsPercentageFemales,Province,District,Municipality,ReportType
Census 2022,Municipality,Matatiele,No Schooling,5469,4.6,,,,,Eastern Cape,Alfred Nzo,Matatiele,DsHighestLevelEducations
Census 2022,Municipality,Matatiele,Some Primary,19522,16.6,,,,,Eastern Cape,Alfred Nzo,Matatiele,DsHighestLevelEducations
Census 2022,Municipality,Matatiele,Completed Primary,9140,7.8,,,,,Eastern Cape,Alfred Nzo,Matatiele,DsHighestLevelEducations
Census 2022,Municipality,Matatiele,Some Secondary,48510,41.2,,,,,Eastern Cape,Alfred Nzo,Matatiele,DsHighestLevelEducations
Census 2022,Municipality,Matatiele,Grade 12/Std10,25842,22.0,,,,,Eastern Cape,Alfred Nzo,Matatiele,DsHighestLevelEducations
Census 2022,Municipality,Matatiele,Higher Education,8584,7.3,,,,,Eastern Cape,Alfred Nzo,Matatiele,DsHighestLevelEducations
Census 2022,Municipality,Matatiele,Other,598,0.5,,,,,Eastern Cape,Alfred Nzo,Matatiele,DsHighestLevelEducations
Census 2022,Municipality,Ntabankulu,No Schooling,8938,12.7,,,,,Eastern Cape,Alfred Nzo,Ntabankulu,DsHighestLevelEducations
Census 2022,Municipality,Ntabankulu,Some Primary,13450,19.1,,,,,Eastern Cape,Alfred Nzo,Ntabankulu,DsHighestLevelEducations
Census 2022,Municipality,Ntabankulu,Completed Primary,4555,6.5,,,,,Eastern Cape,Alfred Nzo,Ntabankulu,DsHighestLevelEducations
Census 2022,Municipality,Ntabankulu,Some Secondary,26891,38.2,,,,,Eastern Cape,Alfred Nzo,Ntabankulu,DsHighestLevelEducations
Census 2022,Municipality,Ntabankulu,Grade 12/Std10,12579,17.9,,,,,Eastern Cape,Alfred Nzo,Ntabankulu,DsHighestLevelEducations
Census 2022,Municipality,Ntabankulu,Higher Education,3726,5.3,,,,,Eastern Cape,Alfred Nzo,Ntabankulu,DsHighestLevelEducations
Census 2022,Municipality,Ntabankulu,Other,303,0.4,,,,,Eastern Cape,Alfred Nzo,Ntabankulu,DsHighestLevelEducations
Census 2022,Municipality,Umzimvubu,No Schooling,4801,4.2,,,,,Eastern Cape,Alfred Nzo,Umzimvubu,DsHighestLevelEducations
Census 2022,Municipality,Umzimvubu,Some Primary,17507,15.4,,,,,Eastern Cape,Alfred Nzo,Umzimvubu,DsHighestLevelEducations
Census 2022,Municipality,Umzimvubu,Completed Primary,7567,6.6,,,,,Eastern Cape,Alfred Nzo,Umzimvubu,DsHighestLevelEducations
Census 2022,Municipality,Umzimvubu,Some Secondary,47456,41.6,,,,,Eastern Cape,Alfred Nzo,Umzimvubu,DsHighestLevelEducations
Census 2022,Municipality,Umzimvubu,Grade 12/Std10,26654,23.4,,,,,Eastern Cape,Alfred Nzo,Umzimvubu,DsHighestLevelEducations
Census 2022,Municipality,Umzimvubu,Higher Education,9374,8.2,,,,,Eastern Cape,Alfred Nzo,Umzimvubu,DsHighestLevelEducations
Census 2022,Municipality,Umzimvubu,Other,585,0.5,,,,,Eastern Cape,Alfred Nzo,Umzimvubu,DsHighestLevelEducations
Census 2022,Municipality,Winnie Madikizela-Mandela,No Schooling,19225,11.6,,,,,Eastern Cape,Alfred Nzo,Winnie Madikizela-Mandela,DsHighestLevelEducations
Census 2022,Municipality,Winnie Madikizela-Mandela,Some Primary,26110,15.8,,,,,Eastern Cape,Alfred Nzo,Winnie Madikizela-Mandela,DsHighestLevelEducations
Census 2022,Municipality,Winnie Madikizela-Mandela,Completed Primary,8546,5.2,,,,,Eastern Cape,Alfred Nzo,Winnie Madikizela-Mandela,DsHighestLevelEducations
Census 2022,Municipality,Winnie Madikizela-Mandela,Some Secondary,60392,36.5,,,,,Eastern Cape,Alfred Nzo,Winnie Madikizela-Mandela,DsHighestLevelEducations
Census 2022,Municipality,Winnie Madikizela-Mandela,Grade 12/Std10,37886,22.9,,,,,Eastern Cape,Alfred Nzo,Winnie Madikizela-Mandela,DsHighestLevelEducations
Census 2022,Municipality,Winnie Madikizela-Mandela,Higher Education,12841,7.8,,,,,Eastern Cape,Alfred Nzo,Winnie Madikizela-Mandela,DsHighestLevelEducations
Census 2022,Municipality,Winnie Madikizela-Mandela,Other,650,0.4,,,,,Eastern Cape,Alfred Nzo,Winnie Madikizela-Mandela,DsHighestLevelEducations
Census 2022,Municipality,Amahlathi,No Schooling,4975,7.1,,,,,Eastern Cape,Amathole,Amahlathi,DsHighestLevelEducations
Census 2022,Municipality,Amahlathi,Some Primary,10646,15.3,,,,,Eastern Cape,Amathole,Amahlathi,DsHighestLevelEducations
Census 2022,Municipality,Amahlathi,Completed Primary,5317,7.6,,,,,Eastern Cape,Amathole,Amahlathi,DsHighestLevelEducations
Census 2022,Municipality,Amahlathi,Some Secondary,28342,40.7,,,,,Eastern Cape,Amathole,Amahlathi,DsHighestLevelEducations
Census 2022,Municipality,Amahlathi,Grade 12/Std10,15998,22.9,,,,,Eastern Cape,Amathole,Amahlathi,DsHighestLevelEducations
Census 2022,Municipality,Amahlathi,Higher Education,4248,6.1,,,,,Eastern Cape,Amathole,Amahlathi,DsHighestLevelEducations
Census 2022,Municipality,Amahlathi,Other,188,0.3,,,,,Eastern Cape,Amathole,Amahlathi,DsHighestLevelEducations
Census 2022,Municipality,Great Kei,No Schooling,2486,10.6,,,,,Eastern Cape,Amathole,Great Kei,DsHighestLevelEducations
Census 2022,Municipality,Great Kei,Some Primary,2858,12.2,,,,,Eastern Cape,Amathole,Great Kei,DsHighestLevelEducations
Census 2022,Municipality,Great Kei,Completed Primary,1316,5.6,,,,,Eastern Cape,Amathole,Great Kei,DsHighestLevelEducations
Census 2022,Municipality,Great Kei,Some Secondary,8723,37.2,,,,,Eastern Cape,Amathole,Great Kei,DsHighestLevelEducations
Census 2022,Municipality,Great Kei,Grade 12/Std10,5909,25.2,,,,,Eastern Cape,Amathole,Great Kei,DsHighestLevelEducations
Census 2022,Municipality,Great Kei,Higher Education,2005,8.6,,,,,Eastern Cape,Amathole,Great Kei,DsHighestLevelEducations
Census 2022,Municipality,Great Kei,Other,138,0.6,,,,,Eastern Cape,Amathole,Great Kei,DsHighestLevelEducations
Census 2022,Municipality,Mbhashe,No Schooling,20273,16.0,,,,,Eastern Cape,Amathole,Mbhashe,DsHighestLevelEducations
Census 2022,Municipality,Mbhashe,Some Primary,23024,18.2,,,,,Eastern Cape,Amathole,Mbhashe,DsHighestLevelEducations
Census 2022,Municipality,Mbhashe,Completed Primary,8117,6.4,,,,,Eastern Cape,Amathole,Mbhashe,DsHighestLevelEducations
Census 2022,Municipality,Mbhashe,Some Secondary,46924,37.0,,,,,Eastern Cape,Amathole,Mbhashe,DsHighestLevelEducations
Census 2022,Municipality,Mbhashe,Grade 12/Std10,20882,16.5,,,,,Eastern Cape,Amathole,Mbhashe,DsHighestLevelEducations
Census 2022,Municipality,Mbhashe,Higher Education,7103,5.6,,,,,Eastern Cape,Amathole,Mbhashe,DsHighestLevelEducations
Census 2022,Municipality,Mbhashe,Other,510,0.4,,,,,Eastern Cape,Amathole,Mbhashe,DsHighestLevelEducations
Census 2022,Municipality,Mnquma,No Schooling,10092,7.6,,,,,Eastern Cape,Amathole,Mnquma,DsHighestLevelEducations
Census 2022,Municipality,Mnquma,Some Primary,21494,16.2,,,,,Eastern Cape,Amathole,Mnquma,DsHighestLevelEducations
Census 2022,Municipality,Mnquma,Completed Primary,9281,7.0,,,,,Eastern Cape,Amathole,Mnquma,DsHighestLevelEducations
Census 2022,Municipality,Mnquma,Some Secondary,52409,39.5,,,,,Eastern Cape,Amathole,Mnquma,DsHighestLevelEducations
Census 2022,Municipality,Mnquma,Grade 12/Std10,27278,20.6,,,,,Eastern Cape,Amathole,Mnquma,DsHighestLevelEducations
Census 2022,Municipality,Mnquma,Higher Education,11451,8.6,,,,,Eastern Cape,Amathole,Mnquma,DsHighestLevelEducations
Census 2022,Municipality,Mnquma,Other,598,0.5,,,,,Eastern Cape,Amathole,Mnquma,DsHighestLevelEducations
Census 2022,Municipality,Ngqushwa,No Schooling,3631,8.4,,,,,Eastern Cape,Amathole,Ngqushwa,DsHighestLevelEducations
Census 2022,Municipality,Ngqushwa,Some Primary,7117,16.5,,,,,Eastern Cape,Amathole,Ngqushwa,DsHighestLevelEducations
Census 2022,Municipality,Ngqushwa,Completed Primary,3194,7.4,,,,,Eastern Cape,Amathole,Ngqushwa,DsHighestLevelEducations
Census 2022,Municipality,Ngqushwa,Some Secondary,16854,39.2,,,,,Eastern Cape,Amathole,Ngqushwa,DsHighestLevelEducations
Census 2022,Municipality,Ngqushwa,Grade 12/Std10,9796,22.8,,,,,Eastern Cape,Amathole,Ngqushwa,DsHighestLevelEducations
Census 2022,Municipality,Ngqushwa,Higher Education,2237,5.2,,,,,Eastern Cape,Amathole,Ngqushwa,DsHighestLevelEducations
Census 2022,Municipality,Ngqushwa,Other,183,0.4,,,,,Eastern Cape,Amathole,Ngqushwa,DsHighestLevelEducations
Census 2022,Municipality,Raymond Mhlaba,No Schooling,4994,4.6,,,,,Eastern Cape,Amathole,Raymond Mhlaba,DsHighestLevelEducations
Census 2022,Municipality,Raymond Mhlaba,Some Primary,14752,13.6,,,,,Eastern Cape,Amathole,Raymond Mhlaba,DsHighestLevelEducations
Census 2022,Municipality,Raymond Mhlaba,Completed Primary,7315,6.7,,,,,Eastern Cape,Amathole,Raymond Mhlaba,DsHighestLevelEducations
Census 2022,Municipality,Raymond Mhlaba,Some Secondary,43961,40.5,,,,,Eastern Cape,Amathole,Raymond Mhlaba,DsHighestLevelEducations
Census 2022,Municipality,Raymond Mhlaba,Grade 12/Std10,27734,25.6,,,,,Eastern Cape,Amathole,Raymond Mhlaba,DsHighestLevelEducations
Census 2022,Municipality,Raymond Mhlaba,Higher Education,9429,8.7,,,,,Eastern Cape,Amathole,Raymond Mhlaba,DsHighestLevelEducations
Census 2022,Municipality,Raymond Mhlaba,Other,344,0.3,,,,,Eastern Cape,Amathole,Raymond Mhlaba,DsHighestLevelEducations
Census 2022,Municipality,Buffalo City,No Schooling,24741,4.1,,,,,Eastern Cape,Buffalo City,Buffalo City,DsHighestLevelEducations
