timeSeriesDesc,geoLevelDesc,geoLevelValueDesc,label,countsPercentage,Province,District,Municipality,ReportType
Census 2022,Municipality,Matatiele,Flush toilet,28.1,Eastern Cape,Alfred Nzo,Matatiele,DsMainToiletFacilitys
Census 2022,Municipality,Matatiele,Chemical toilet,5.5,Eastern Cape,Alfred Nzo,Matatiele,DsMainToiletFacilitys
Census 2022,Municipality,Matatiele,Pit toilet,58.0,Eastern Cape,Alfred Nzo,Matatiele,DsMainToiletFacilitys
Census 2022,Municipality,Matatiele,Bucket toilet,1.5,Eastern Cape,Alfred Nzo,Matatiele,DsMainToiletFacilitys
Census 2022,Municipality,Matatiele,Other,2.7,Eastern Cape,Alfred Nzo,Matatiele,DsMainToiletFacilitys
Census 2022,Municipality,Matatiele,None,4.2,Eastern Cape,Alfred Nzo,Matatiele,DsMainToiletFacilitys
Census 2022,Municipality,Ntabankulu,Flush toilet,19.6,Eastern Cape,Alfred Nzo,Ntabankulu,DsMainToiletFacilitys
Census 2022,Municipality,Ntabankulu,Chemical toilet,12.7,Eastern Cape,Alfred Nzo,Ntabankulu,DsMainToiletFacilitys
Census 2022,Municipality,Ntabankulu,Pit toilet,56.7,Eastern Cape,Alfred Nzo,Ntabankulu,DsMainToiletFacilitys
Census 2022,Municipality,Ntabankulu,Bucket toilet,1.3,Eastern Cape,Alfred Nzo,Ntabankulu,DsMainToiletFacilitys
Census 2022,Municipality,Ntabankulu,Other,1.6,Eastern Cape,Alfred Nzo,Ntabankulu,DsMainToiletFacilitys
Census 2022,Municipality,Ntabankulu,None,8.2,Eastern Cape,Alfred Nzo,Ntabankulu,DsMainToiletFacilitys
Census 2022,Municipality,Umzimvubu,Flush toilet,26.7,Eastern Cape,Alfred Nzo,Umzimvubu,DsMainToiletFacilitys
Census 2022,Municipality,Umzimvubu,Chemical toilet,11.3,Eastern Cape,Alfred Nzo,Umzimvubu,DsMainToiletFacilitys
Census 2022,Municipality,Umzimvubu,Pit toilet,54.4,Eastern Cape,Alfred Nzo,Umzimvubu,DsMainToiletFacilitys
Census 2022,Municipality,Umzimvubu,Bucket toilet,1.1,Eastern Cape,Alfred Nzo,Umzimvubu,DsMainToiletFacilitys
Census 2022,Municipality,Umzimvubu,Other,1.7,Eastern Cape,Alfred Nzo,Umzimvubu,DsMainToiletFacilitys
Census 2022,Municipality,Umzimvubu,None,4.7,Eastern Cape,Alfred Nzo,Umzimvubu,DsMainToiletFacilitys
Census 2022,Municipality,Winnie Madikizela-Mandela,Flush toilet,16.1,Eastern Cape,Alfred Nzo,Winnie Madikizela-Mandela,DsMainToiletFacilitys
Census 2022,Municipality,Winnie Madikizela-Mandela,Chemical toilet,5.4,Eastern Cape,Alfred Nzo,Winnie Madikizela-Mandela,DsMainToiletFacilitys
Census 2022,Municipality,Winnie Madikizela-Mandela,Pit toilet,67.2,Eastern Cape,Alfred Nzo,Winnie Madikizela-Mandela,DsMainToiletFacilitys
Census 2022,Municipality,Winnie Madikizela-Mandela,Bucket toilet,0.9,Eastern Cape,Alfred Nzo,Winnie Madikizela-Mandela,DsMainToiletFacilitys
Census 2022,Municipality,Winnie Madikizela-Mandela,Other,4.2,Eastern Cape,Alfred Nzo,Winnie Madikizela-Mandela,DsMainToiletFacilitys
Census 2022,Municipality,Winnie Madikizela-Mandela,None,6.2,Eastern Cape,Alfred Nzo,Winnie Madikizela-Mandela,DsMainToiletFacilitys
Census 2022,Municipality,Amahlathi,Flush toilet,46.4,Eastern Cape,Amathole,Amahlathi,DsMainToiletFacilitys
Census 2022,Municipality,Amahlathi,Chemical toilet,1.9,Eastern Cape,Amathole,Amahlathi,DsMainToiletFacilitys
Census 2022,Municipality,Amahlathi,Pit toilet,48.3,Eastern Cape,Amathole,Amahlathi,DsMainToiletFacilitys
Census 2022,Municipality,Amahlathi,Bucket toilet,0.4,Eastern Cape,Amathole,Amahlathi,DsMainToiletFacilitys
Census 2022,Municipality,Amahlathi,Other,1.4,Eastern Cape,Amathole,Amahlathi,DsMainToiletFacilitys
Census 2022,Municipality,Amahlathi,None,1.5,Eastern Cape,Amathole,Amahlathi,DsMainToiletFacilitys
Census 2022,Municipality,Great Kei,Flush toilet,50.4,Eastern Cape,Amathole,Great Kei,DsMainToiletFacilitys
Census 2022,Municipality,Great Kei,Chemical toilet,7.1,Eastern Cape,Amathole,Great Kei,DsMainToiletFacilitys
Census 2022,Municipality,Great Kei,Pit toilet,37.2,Eastern Cape,Amathole,Great Kei,DsMainToiletFacilitys
Census 2022,Municipality,Great Kei,Bucket toilet,0.4,Eastern Cape,Amathole,Great Kei,DsMainToiletFacilitys
Census 2022,Municipality,Great Kei,Other,2.5,Eastern Cape,Amathole,Great Kei,DsMainToiletFacilitys
Census 2022,Municipality,Great Kei,None,2.5,Eastern Cape,Amathole,Great Kei,DsMainToiletFacilitys
