timeSeriesDesc,geoLevelDesc,geoLevelValueDesc,label,counts,countsPercentage,countsMales,countsPercentageMales,countsFemales,countsPercentageFemales,Province,District,Municipality,ReportType
Census 2022,Municipality,Matatiele,BLACK AFRICAN,221539,98.3,,,,,Eastern Cape,Alfred Nzo,Matatiele,DsPopulationGroups
Census 2022,Municipality,Matatiele,COLOURED,1485,0.7,,,,,Eastern Cape,Alfred Nzo,Matatiele,DsPopulationGroups
Census 2022,Municipality,Matatiele,INDIAN/ASIAN,513,0.2,,,,,Eastern Cape,Alfred Nzo,Matatiele,DsPopulationGroups
Census 2022,Municipality,Matatiele,WHITE,1474,0.7,,,,,Eastern Cape,Alfred Nzo,Matatiele,DsPopulationGroups
Census 2022,Municipality,Matatiele,OTHER,429,0.2,,,,,Eastern Cape,Alfred Nzo,Matatiele,DsPopulationGroups
Census 2022,Municipality,Ntabankulu,BLACK AFRICAN,145664,99.5,,,,,Eastern Cape,Alfred Nzo,Ntabankulu,DsPopulationGroups
Census 2022,Municipality,Ntabankulu,COLOURED,303,0.2,,,,,Eastern Cape,Alfred Nzo,Ntabankulu,DsPopulationGroups
Census 2022,Municipality,Ntabankulu,INDIAN/ASIAN,226,0.2,,,,,Eastern Cape,Alfred Nzo,Ntabankulu,DsPopulationGroups
Census 2022,Municipality,Ntabankulu,WHITE,120,0.1,,,,,Eastern Cape,Alfred Nzo,Ntabankulu,DsPopulationGroups
Census 2022,Municipality,Ntabankulu,OTHER,110,0.1,,,,,Eastern Cape,Alfred Nzo,Ntabankulu,DsPopulationGroups
Census 2022,Municipality,Umzimvubu,BLACK AFRICAN,212699,99.2,,,,,Eastern Cape,Alfred Nzo,Umzimvubu,DsPopulationGroups
Census 2022,Municipality,Umzimvubu,COLOURED,684,0.3,,,,,Eastern Cape,Alfred Nzo,Umzimvubu,DsPopulationGroups
Census 2022,Municipality,Umzimvubu,INDIAN/ASIAN,487,0.2,,,,,Eastern Cape,Alfred Nzo,Umzimvubu,DsPopulationGroups
Census 2022,Municipality,Umzimvubu,WHITE,169,0.1,,,,,Eastern Cape,Alfred Nzo,Umzimvubu,DsPopulationGroups
Census 2022,Municipality,Umzimvubu,OTHER,398,0.2,,,,,Eastern Cape,Alfred Nzo,Umzimvubu,DsPopulationGroups
Census 2022,Municipality,Winnie Madikizela-Mandela,BLACK AFRICAN,347869,99.4,,,,,Eastern Cape,Alfred Nzo,Winnie Madikizela-Mandela,DsPopulationGroups
