timeSeriesDesc,geoLevelDesc,geoLevelValueDesc,label,counts,countsPercentage,Province,District,Municipality,ReportType
Census 2022,Municipality,Matatiele,Removed by local authority at least once a week,14810,26.6,Eastern Cape,Alfred Nzo,Matatiele,DsRefuseDisposals
Census 2022,Municipality,Matatiele,Removed by local authority less often,389,0.7,Eastern Cape,Alfred Nzo,Matatiele,DsRefuseDisposals
Census 2022,Municipality,Matatiele,Communal refuse dump,659,1.2,Eastern Cape,Alfred Nzo,Matatiele,DsRefuseDisposals
Census 2022,Municipality,Matatiele,Communal container/central collection point,768,1.4,Eastern Cape,Alfred Nzo,Matatiele,DsRefuseDisposals
Census 2022,Municipality,Matatiele,Own refuse dump,35634,63.9,Eastern Cape,Alfred Nzo,Matatiele,DsRefuseDisposals
Census 2022,Municipality,Matatiele,No Rubbish Disposal,2551,4.6,Eastern Cape,Alfred Nzo,Matatiele,DsRefuseDisposals
Census 2022,Municipality,Matatiele,Other,947,1.7,Eastern Cape,Alfred Nzo,Matatiele,DsRefuseDisposals
Census 2022,Municipality,Ntabankulu,Removed by local authority at least once a week,5540,19.5,Eastern Cape,Alfred Nzo,Ntabankulu,DsRefuseDisposals
Census 2022,Municipality,Ntabankulu,Removed by local authority less often,61,0.2,Eastern Cape,Alfred Nzo,Ntabankulu,DsRefuseDisposals
Census 2022,Municipality,Ntabankulu,Communal refuse dump,440,1.5,Eastern Cape,Alfred Nzo,Ntabankulu,DsRefuseDisposals
Census 2022,Municipality,Ntabankulu,Communal container/central collection point,163,0.6,Eastern Cape,Alfred Nzo,Ntabankulu,DsRefuseDisposals
Census 2022,Municipality,Ntabankulu,Own refuse dump,19180,67.6,Eastern Cape,Alfred Nzo,Ntabankulu,DsRefuseDisposals
Census 2022,Municipality,Ntabankulu,No Rubbish Disposal,2871,10.1,Eastern Cape,Alfred Nzo,Ntabankulu,DsRefuseDisposals
Census 2022,Municipality,Ntabankulu,Other,111,0.4,Eastern Cape,Alfred Nzo,Ntabankulu,DsRefuseDisposals
