timeSeriesDesc,geoLevelDesc,geoLevelValueDesc,label,counts,countsPercentage,countsMales,countsPercentageMales,countsFemales,countsPercentageFemales,Province,District,Municipality,ReportType
Census 2022,Municipality,Matatiele,Yes,69647,79.8,,,,,Eastern Cape,Alfred Nzo,Matatiele,DsSchoolAttendences
Census 2022,Municipality,Matatiele,No,17593,20.2,,,,,Eastern Cape,Alfred Nzo,Matatiele,DsSchoolAttendences
Census 2022,Municipality,Ntabankulu,Yes,48732,79.4,,,,,Eastern Cape,Alfred Nzo,Ntabankulu,DsSchoolAttendences
Census 2022,Municipality,Ntabankulu,No,12672,20.6,,,,,Eastern Cape,Alfred Nzo,Ntabankulu,DsSchoolAttendences
Census 2022,Municipality,Umzimvubu,Yes,65484,78.3,,,,,Eastern Cape,Alfred Nzo,Umzimvubu,DsSchoolAttendences
Census 2022,Municipality,Umzimvubu,No,18175,21.7,,,,,Eastern Cape,Alfred Nzo,Umzimvubu,DsSchoolAttendences
Census 2022,Municipality,Winnie Madikizela-Mandela,Yes,124900,82.0,,,,,Eastern Cape,Alfred Nzo,Winnie Madikizela-Mandela,DsSchoolAttendences
Census 2022,Municipality,Winnie Madikizela-Mandela,No,27463,18.0,,,,,Eastern Cape,Alfred Nzo,Winnie Madikizela-Mandela,DsSchoolAttendences
Census 2022,Municipality,Amahlathi,Yes,30076,77.4,,,,,Eastern Cape,Amathole,Amahlathi,DsSchoolAttendences
Census 2022,Municipality,Amahlathi,No,8765,22.6,,,,,Eastern Cape,Amathole,Amahlathi,DsSchoolAttendences
Census 2022,Municipality,Great Kei,Yes,7933,76.8,,,,,Eastern Cape,Amathole,Great Kei,DsSchoolAttendences
Census 2022,Municipality,Great Kei,No,2397,23.2,,,,,Eastern Cape,Amathole,Great Kei,DsSchoolAttendences
Census 2022,Municipality,Mbhashe,Yes,74458,81.7,,,,,Eastern Cape,Amathole,Mbhashe,DsSchoolAttendences
Census 2022,Municipality,Mbhashe,No,16716,18.3,,,,,Eastern Cape,Amathole,Mbhashe,DsSchoolAttendences
Census 2022,Municipality,Mnquma,Yes,63221,79.6,,,,,Eastern Cape,Amathole,Mnquma,DsSchoolAttendences
Census 2022,Municipality,Mnquma,No,16213,20.4,,,,,Eastern Cape,Amathole,Mnquma,DsSchoolAttendences
Census 2022,Municipality,Ngqushwa,Yes,17299,79.7,,,,,Eastern Cape,Amathole,Ngqushwa,DsSchoolAttendences
Census 2022,Municipality,Ngqushwa,No,4410,20.3,,,,,Eastern Cape,Amathole,Ngqushwa,DsSchoolAttendences
Census 2022,Municipality,Raymond Mhlaba,Yes,44823,77.5,,,,,Eastern Cape,Amathole,Raymond Mhlaba,DsSchoolAttendences
Census 2022,Municipality,Raymond Mhlaba,No,13029,22.5,,,,,Eastern Cape,Amathole,Raymond Mhlaba,DsSchoolAttendences
Census 2022,Municipality,Buffalo City,Yes,233425,76.3,,,,,Eastern Cape,Buffalo City,Buffalo City,DsSchoolAttendences
Census 2022,Municipality,Buffalo City,No,72556,23.7,,,,,Eastern Cape,Buffalo City,Buffalo City,DsSchoolAttendences
Census 2022,Municipality,Emalahleni,Yes,35069,79.8,,,,,Eastern Cape,Chris Hani,Emalahleni,DsSchoolAttendences
Census 2022,Municipality,Emalahleni,No,8900,20.2,,,,,Eastern Cape,Chris Hani,Emalahleni,DsSchoolAttendences
Census 2022,Municipality,Engcobo,Yes,40794,82.7,,,,,Eastern Cape,Chris Hani,Engcobo,DsSchoolAttendences
Census 2022,Municipality,Engcobo,No,8543,17.3,,,,,Eastern Cape,Chris Hani,Engcobo,DsSchoolAttendences
Census 2022,Municipality,Enoch Mgijima,Yes,78797,77.1,,,,,Eastern Cape,Chris Hani,Enoch Mgijima,DsSchoolAttendences
Census 2022,Municipality,Enoch Mgijima,No,23414,22.9,,,,,Eastern Cape,Chris Hani,Enoch Mgijima,DsSchoolAttendences
Census 2022,Municipality,Intsika Yethu,Yes,34744,79.4,,,,,Eastern Cape,Chris Hani,Intsika Yethu,DsSchoolAttendences
Census 2022,Municipality,Intsika Yethu,No,9004,20.6,,,,,Eastern Cape,Chris Hani,Intsika Yethu,DsSchoolAttendences
Census 2022,Municipality,Inxuba Yethemba,Yes,18411,71.8,,,,,Eastern Cape,Chris Hani,Inxuba Yethemba,DsSchoolAttendences
