timeSeriesDesc,geoLevelDesc,geoLevelValueDesc,label,counts,countsPercentage,countsMales,countsPercentageMales,countsFemales,countsPercentageFemales,Province,District,Municipality,ReportType
Census 2022,Municipality,Matatiele,MALE,105977,47.0,,,,,Eastern Cape,Alfred Nzo,Matatiele,DsSexes
Census 2022,Municipality,Matatiele,FEMALE,119585,53.0,,,,,Eastern Cape,Alfred Nzo,Matatiele,DsSexes
Census 2022,Municipality,Ntabankulu,MALE,68964,47.1,,,,,Eastern Cape,Alfred Nzo,Ntabankulu,DsSexes
Census 2022,Municipality,Ntabankulu,FEMALE,77459,52.9,,,,,Eastern Cape,Alfred Nzo,Ntabankulu,DsSexes
Census 2022,Municipality,Umzimvubu,MALE,100626,46.9,,,,,Eastern Cape,Alfred Nzo,Umzimvubu,DsSexes
Census 2022,Municipality,Umzimvubu,FEMALE,113850,53.1,,,,,Eastern Cape,Alfred Nzo,Umzimvubu,DsSexes
Census 2022,Municipality,Winnie Madikizela-Mandela,MALE,163889,46.8,,,,,Eastern Cape,Alfred Nzo,Winnie Madikizela-Mandela,DsSexes
Census 2022,Municipality,Winnie Madikizela-Mandela,FEMALE,186111,53.2,,,,,Eastern Cape,Alfred Nzo,Winnie Madikizela-Mandela,DsSexes
Census 2022,Municipality,Amahlathi,MALE,56463,48.8,,,,,Eastern Cape,Amathole,Amahlathi,DsSexes
Census 2022,Municipality,Amahlathi,FEMALE,59240,51.2,,,,,Eastern Cape,Amathole,Amahlathi,DsSexes
Census 2022,Municipality,Great Kei,MALE,17491,48.6,,,,,Eastern Cape,Amathole,Great Kei,DsSexes
Census 2022,Municipality,Great Kei,FEMALE,18499,51.4,,,,,Eastern Cape,Amathole,Great Kei,DsSexes
Census 2022,Municipality,Mbhashe,MALE,111137,46.3,,,,,Eastern Cape,Amathole,Mbhashe,DsSexes
Census 2022,Municipality,Mbhashe,FEMALE,128883,53.7,,,,,Eastern Cape,Amathole,Mbhashe,DsSexes
Census 2022,Municipality,Mnquma,MALE,111374,47.8,,,,,Eastern Cape,Amathole,Mnquma,DsSexes
Census 2022,Municipality,Mnquma,FEMALE,121619,52.2,,,,,Eastern Cape,Amathole,Mnquma,DsSexes
Census 2022,Municipality,Ngqushwa,MALE,32614,47.8,,,,,Eastern Cape,Amathole,Ngqushwa,DsSexes
Census 2022,Municipality,Ngqushwa,FEMALE,35686,52.2,,,,,Eastern Cape,Amathole,Ngqushwa,DsSexes
Census 2022,Municipality,Raymond Mhlaba,MALE,85924,48.1,,,,,Eastern Cape,Amathole,Raymond Mhlaba,DsSexes
Census 2022,Municipality,Raymond Mhlaba,FEMALE,92671,51.9,,,,,Eastern Cape,Amathole,Raymond Mhlaba,DsSexes
Census 2022,Municipality,Buffalo City,MALE,461693,47.3,,,,,Eastern Cape,Buffalo City,Buffalo City,DsSexes
Census 2022,Municipality,Buffalo City,FEMALE,513562,52.7,,,,,Eastern Cape,Buffalo City,Buffalo City,DsSexes
Census 2022,Municipality,Emalahleni,MALE,62702,48.7,,,,,Eastern Cape,Chris Hani,Emalahleni,DsSexes
