timeSeriesDesc,geoLevelDesc,geoLevelValueDesc,label,counts,countsPercentage,Province,District,Municipality,ReportType
Census 2022,Municipality,Matatiele,Formal dwelling,42281,75.8,Eastern Cape,Alfred Nzo,Matatiele,DsTypeOfMainDwellings
Census 2022,Municipality,Matatiele,Traditional dwelling,12892,23.1,Eastern Cape,Alfred Nzo,Matatiele,DsTypeOfMainDwellings
Census 2022,Municipality,Matatiele,Informal dwelling,401,0.7,Eastern Cape,Alfred Nzo,Matatiele,DsTypeOfMainDwellings
Census 2022,Municipality,Matatiele,Other,183,0.3,Eastern Cape,Alfred Nzo,Matatiele,DsTypeOfMainDwellings
Census 2022,Municipality,Ntabankulu,Formal dwelling,15948,56.2,Eastern Cape,Alfred Nzo,Ntabankulu,DsTypeOfMainDwellings
Census 2022,Municipality,Ntabankulu,Traditional dwelling,12092,42.6,Eastern Cape,Alfred Nzo,Ntabankulu,DsTypeOfMainDwellings
Census 2022,Municipality,Ntabankulu,Informal dwelling,236,0.8,Eastern Cape,Alfred Nzo,Ntabankulu,DsTypeOfMainDwellings
Census 2022,Municipality,Ntabankulu,Other,89,0.3,Eastern Cape,Alfred Nzo,Ntabankulu,DsTypeOfMainDwellings
Census 2022,Municipality,Umzimvubu,Formal dwelling,38000,73.5,Eastern Cape,Alfred Nzo,Umzimvubu,DsTypeOfMainDwellings
Census 2022,Municipality,Umzimvubu,Traditional dwelling,13329,25.8,Eastern Cape,Alfred Nzo,Umzimvubu,DsTypeOfMainDwellings
Census 2022,Municipality,Umzimvubu,Informal dwelling,187,0.4,Eastern Cape,Alfred Nzo,Umzimvubu,DsTypeOfMainDwellings
Census 2022,Municipality,Umzimvubu,Other,183,0.4,Eastern Cape,Alfred Nzo,Umzimvubu,DsTypeOfMainDwellings
Census 2022,Municipality,Winnie Madikizela-Mandela,Formal dwelling,44007,70.4,Eastern Cape,Alfred Nzo,Winnie Madikizela-Mandela,DsTypeOfMainDwellings
Census 2022,Municipality,Winnie Madikizela-Mandela,Traditional dwelling,17171,27.5,Eastern Cape,Alfred Nzo,Winnie Madikizela-Mandela,DsTypeOfMainDwellings
Census 2022,Municipality,Winnie Madikizela-Mandela,Informal dwelling,714,1.1,Eastern Cape,Alfred Nzo,Winnie Madikizela-Mandela,DsTypeOfMainDwellings
Census 2022,Municipality,Winnie Madikizela-Mandela,Other,587,0.9,Eastern Cape,Alfred Nzo,Winnie Madikizela-Mandela,DsTypeOfMainDwellings
Census 2022,Municipality,Amahlathi,Formal dwelling,28344,84.3,Eastern Cape,Amathole,Amahlathi,DsTypeOfMainDwellings
